"Referencia","Descricao","Valor","DataCriacao"
"000002-STMA",Aspira Motion 220v,5142.85,2025-08-26 02:26:12.506
"000004-STMA",Aspira Motion 110v,5142.85,2025-08-26 02:26:12.503
"01.05.0001.9",SOLT CLEARTEK ACES.P/REMOC.ALINHADOR C/3,5.02,2025-08-26 02:26:12.480
"010.0001",ZERION® LT  UNITÁRIO,199.00,2025-08-26 02:26:12.140
"010.0002",ZERION® LT  PONTE 2 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0003",ZERION® LT  PONTE 3 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0004",ZERION® LT  PONTE 4 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0005",ZERION® LT  PONTE 5 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0006",ZERION® LT  PONTE 6 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0007",ZERION® LT  PONTE 7 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0008",ZERION® LT  PONTE 8 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0009",ZERION® LT  PONTE 9 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0010",ZERION® LT  PONTE 10 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0011",ZERION® LT  PONTE 11 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0012",ZERION® LT  PONTE 12 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0013",ZERION® LT  PONTE 13 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0014",ZERION® LT  PONTE 14 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0015",ZERION® LT  PONTE 15 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.0016",ZERION® LT  PONTE 16 UNIDADES,199.00,2025-08-26 02:26:12.140
"010.1001",CORON® UNITÁRIO,102.00,2025-08-26 02:26:12.140
"010.1002",CORON® PONTE 2 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1003",CORON® PONTE 3 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1004",CORON® PONTE 4 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1005",CORON® PONTE 5 UNIDADES,102.00,2025-08-26 02:26:12.140
